BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,Manufacture Method,Material Ratio PbI2:Cation,Time(s),Current(A)
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,1,1,200,0.182
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,1,1,320,0.196
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,1,1,400,0.201
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,1,1.2,40,0
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,1,1.2,120,0
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,1,1.2,200,0
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,1,1.2,320,0
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,1,1.2,400,0
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,1,0.83,40,0.4
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,1,0.83,120,0.457
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,1,0.83,200,0.513
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,1,0.83,320,0.599
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,1,0.83,400,0.66
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,2,1,40,0
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,2,1,120,0
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,2,1,200,0
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,2,1,320,0
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,2,1,400,0
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,2,1.2,40,0.138
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,2,1.2,120,0.176
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,2,1.2,200,0.185
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,2,1.2,320,0.195
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,2,1.2,400,0.199
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,2,0.83,40,1.3
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,2,0.83,120,0.983
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,2,0.83,200,1.05
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,2,0.83,320,1.16
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,2,0.83,400,1.22
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,3,1,40,7.58
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,3,1,120,5.44
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,3,1,200,4.35
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,3,1,320,3.04
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,3,1,400,2.05
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,3,1.2,40,9.43
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,3,1.2,120,7.91
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,3,1.2,200,6.97
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,3,1.2,320,5.77
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,3,1.2,400,5.2
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,3,0.83,40,9.25
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,3,0.83,120,8.09
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,3,0.83,200,7.51
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,3,0.83,320,6.35
2.784,671.817,11.052,7.306,8.878,6.965,3.953,6.262,2.892,5.458,1.872,3.224,1.202,1.988,14.676,13.212,4.895,10.969,0,30.332,0,0,0,15.1,243.96,0,-1.33,15,239.615,2266.705,10.197,3.357,2.028,89.512,11.017,0.423,11.017,0.336,0.023,0.336,-3.752,-0.423,1.72,55.523,244.655,0,4,0,0,0,1,1,2,4,0,6,1,78,3,0.83,400,5.07
2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,0,1,1,3,0,3,5,2,6,2,138,1,1,40,13
2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,0,1,1,3,0,3,5,2,6,2,138,1,1,120,12.4
2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,0,1,1,3,0,3,5,2,6,2,138,1,1,200,10
2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,0,1,1,3,0,3,5,2,6,2,138,1,1,320,7.33
2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,0,1,1,3,0,3,5,2,6,2,138,1,1,400,6
2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,0,1,1,3,0,3,5,2,6,2,138,1,1.2,40,12
2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,0,1,1,3,0,3,5,2,6,2,138,1,1.2,120,10.7
2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,0,1,1,3,0,3,5,2,6,2,138,1,1.2,200,9.33
2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,0,1,1,3,0,3,5,2,6,2,138,1,1.2,320,7.89
2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,0,1,1,3,0,3,5,2,6,2,138,1,1.2,400,7.3
2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,0,1,1,3,0,3,5,2,6,2,138,1,0.83,40,8.16
2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,0,1,1,3,0,3,5,2,6,2,138,1,0.83,120,7.26
2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,0,1,1,3,0,3,5,2,6,2,138,1,0.83,200,6.68
2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,0,1,1,3,0,3,5,2,6,2,138,1,0.83,320,5.87
2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,0,1,1,3,0,3,5,2,6,2,138,1,0.83,400,5.26
2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,0,1,1,3,0,3,5,2,6,2,138,2,1,40,18.8
2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,0,1,1,3,0,3,5,2,6,2,138,2,1,120,17
2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,0,1,1,3,0,3,5,2,6,2,138,2,1,200,16.5
2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,0,1,1,3,0,3,5,2,6,2,138,2,1,320,15.2
2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,0,1,1,3,0,3,5,2,6,2,138,2,1,400,14.7
2.117,1113.44,19.397,14.801,15.617,12.754,8.409,9.817,6.717,8.232,4.977,6.341,3.553,4.98,15.719,18.631,16.395,27.817,0,18.199,56.312,0,0,4.183,382.087,0.143,-2.83,27,364.293,1348879.864,17.577,5.837,2.522,157.171,12.798,0.508,12.798,0.298,0.112,0.298,-3.98,-0.508,3.725,100.282,382.437,2,5,0,1,1,3,0,3,5,2,6,2,138,2,1.2,40,12.6
